,Precio,Marca,Modelo,Motor,Potencia,Km,Ciudad,Año,Image
27,218.000,Aston Martin,,Gasolina,510,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/b/medium/0312239648Your-Vantage10.jpeg
28,238.000,Aston Martin,4.0 510,Gasolina,510,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/4/medium/0312239408Aston-Martin-DB11-106505.jpg
29,271.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/b/medium/0312239618Your-DBX.jpeg
30,266.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/8/medium/0312239572Your-DBX11.jpeg
31,249.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/c/medium/0312239542Your-DBX.jpeg
32,246.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/1/medium/0312239476Aston-Martin-DBX-033493.jpg
33,179.000,Aston Martin,Volante 4.0 510,Gasolina,510,7.500,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/26/9/medium/03122394243-Aston-Mart.jpg
34,73.900,Audi,e-tron 50 quattro S line,Eléctrico,313,4.465,Alicante,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/18/c/medium/031089081916797901_01.jpg
35,27.800,Audi,A3 Sportback 30 TFSI,Gasolina,110,5.000,Badajoz,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/8/medium/031138662314032357_01.jpg
36,58.615,Audi,A6 40 TDI S tronic Sport,Diesel,204,100,Illes Balears,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/21/2/medium/02969669359700840_01.jpg
37,36.700,Audi,A4 Avant 35 TFSI,Gasolina,150,112,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/23/8/medium/029233306110098538_01.jpg
38,41.890,Audi,A5 Sportback 40 TDI S,Diesel,190,335,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/10/22/6/medium/34fce6fa12bd8aa673262a1741b15e61.JPG
39,41.890,Audi,A5 Sportback 40 TDI,Diesel,190,9.103,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/10/22/d/medium/164662743d387885c4755ab3fc41e985.JPG
40,33.900,Audi,A3 Sportback 40 TFSIe,Híbrido,204,2.000,"Palmas, Las",2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/3/medium/1e472bd04b470dc473f329aa789ddabf.jpg
41,24.990,Audi,A3 Sportback 40 e-tron S,Híbrido,204,750,Navarra,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/3/medium/0311561207449832-9.jpg
42,31.500,Audi,A4 35 TDI S line S tronic,Diesel,163,6.053,Murcia,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/c/medium/0311558873582029-IMG_1689.jpg
43,47.900,Audi,Q3 Sportback 45 TFSIe,Híbrido,245,1.000,"Palmas, Las",2021,https://imgs.coches.com/coches/fotos/usados/2021/12/30/a/medium/1b9727ebb31d3b12849a31a3b4da3011.jpg
