,Precio,Marca,Modelo,Motor,Potencia,Km,Ciudad,Año,Image
120,15.300,Fiat,Tipo 1.0 Live,Gasolina,100,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/30/d/medium/1f2990559451a62a8b19c13fba1a8911.JPG
121,15.800,Fiat,500 e 70Kw Action,Eléctrico,95,15,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/26/c/medium/0302490221imagen.jpg
122,13.300,Fiat,Tipo 1.0 City Live,Gasolina,100,1,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/03/6/medium/79cb777c7d282a67232a6330d3626248.jpeg
123,16.500,Fiat,500 e 70Kw Action,Eléctrico,95,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/25/8/medium/083a197377d4f110d0ce5776fabae0b4.jpg
124,15.390,Fiat,Tipo 1.0 Live,Gasolina,100,7.000,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/a/medium/0296752329017be03f-60f5-afeb-e872-c0c7907a9a0c.jpg
125,15.290,Fiat,Tipo 1.0 Live,Gasolina,100,5.000,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/c/medium/0296752143017a8162-4b76-5b1f-0fab-d442b8165ecc.jpg
126,16.500,Fiat,Tipo SW 1.0 Life,Gasolina,100,1,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/03/d/medium/bf11a1b9ffeca1b0e1eec2bde48325a4.jpeg
127,18.400,Fiat,Tipo SW 1.3 Multijet City,Diesel,95,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/1/medium/df91b24cf8048549df8dd5697eb4e5c1.jpg
128,16.300,Fiat,Tipo Sedán 1.0 City Life,Gasolina,100,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/5/medium/d71daa0c72d0d20d4898a4a9dac279b3.jpg
129,51.990,Fiat,Ducato e- Furgón Acristalado,Eléctrico,122,10,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/04/1/medium/0308780657ef376e71e3d96c3d6b2eefe44bf7d170_original.jpg
130,49.595,Fiat,Ducato e- Combi Acristalado,Eléctrico,122,500,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/10/5/medium/0304759665IMG_4100.JPG
